               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043572,            0.015012,            0.013424,             0.68057,             0.81801,             0.92625,             0.52387,            0.030871,           0.0070271,           0.0042515,           0.0096535,           0.0096535,           0.0096535
                  37,            0.049113,            0.012074,            0.010634,             0.71772,             0.88366,             0.75459,             0.42004,            0.035968,           0.0069208,            0.004145,           0.0096436,           0.0096436,           0.0096436
                  38,            0.046317,            0.014649,             0.01029,              0.6779,                   1,              0.9675,              0.6359,            0.041763,           0.0066001,           0.0036446,           0.0096337,           0.0096337,           0.0096337
                  39,            0.052358,            0.015761,           0.0094961,             0.46811,                   1,             0.82156,             0.42118,             0.03524,            0.006995,           0.0034634,           0.0096238,           0.0096238,           0.0096238
                  40,            0.042103,            0.012064,           0.0083395,             0.78174,             0.66667,               0.656,             0.42534,            0.023794,           0.0071638,           0.0033703,           0.0096139,           0.0096139,           0.0096139
                  41,            0.044953,            0.011911,           0.0090775,             0.41834,                   1,             0.82944,             0.50658,            0.037996,           0.0073292,           0.0030685,            0.009604,            0.009604,            0.009604
                  42,            0.051297,            0.012772,           0.0082047,             0.69312,                   1,                0.94,             0.47002,            0.033372,           0.0072021,           0.0029854,           0.0095941,           0.0095941,           0.0095941
                  43,            0.043364,            0.013056,           0.0082019,              0.8928,             0.93801,               0.995,              0.6248,            0.030862,            0.006222,           0.0028637,           0.0095842,           0.0095842,           0.0095842
                  44,             0.05309,            0.013854,           0.0091834,             0.91477,             0.99289,               0.995,             0.44919,            0.031911,            0.006916,           0.0027588,           0.0095743,           0.0095743,           0.0095743
                  45,            0.044232,            0.011647,           0.0073668,             0.60122,                   1,             0.91167,             0.51604,            0.034777,           0.0066075,           0.0024101,           0.0095644,           0.0095644,           0.0095644
                  46,            0.050608,            0.011583,            0.015056,             0.69986,             0.98492,             0.93944,             0.53345,             0.02638,           0.0061316,           0.0022816,           0.0095545,           0.0095545,           0.0095545
                  47,            0.037585,           0.0097888,            0.015128,              0.6141,             0.87183,             0.93944,             0.58334,            0.028212,           0.0059979,           0.0023033,           0.0095446,           0.0095446,           0.0095446
                  48,            0.041403,            0.012556,           0.0073358,             0.60718,             0.77793,             0.88444,             0.41493,            0.035374,            0.005656,           0.0023273,           0.0095347,           0.0095347,           0.0095347
                  49,            0.049057,            0.013449,           0.0091924,             0.72203,                   1,                0.94,             0.66338,            0.033345,           0.0051334,           0.0024139,           0.0095248,           0.0095248,           0.0095248
                  50,            0.049827,            0.012213,           0.0089107,             0.78652,                   1,             0.91167,             0.45476,            0.028199,           0.0047853,           0.0024399,           0.0095149,           0.0095149,           0.0095149
                  51,            0.041632,            0.010889,           0.0074894,             0.86586,                   1,               0.995,             0.54216,            0.023202,           0.0048435,           0.0022942,            0.009505,            0.009505,            0.009505
                  52,            0.042214,            0.012857,           0.0065179,             0.75981,                   1,               0.995,             0.62369,             0.03476,           0.0053704,           0.0018627,           0.0094951,           0.0094951,           0.0094951
                  53,            0.045188,            0.011803,           0.0075399,             0.84336,              0.9943,               0.995,             0.47981,            0.028919,            0.005455,            0.001672,           0.0094852,           0.0094852,           0.0094852
                  54,            0.044715,            0.013001,            0.010643,             0.68711,             0.95245,               0.951,             0.56082,              0.0232,           0.0053535,           0.0015244,           0.0094753,           0.0094753,           0.0094753
                  55,            0.035657,            0.011123,           0.0038828,             0.70646,             0.97865,              0.9675,             0.61931,            0.031305,           0.0050089,            0.001545,           0.0094654,           0.0094654,           0.0094654
