               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049728,             0.01411,           0.0083529,             0.59282,                   1,             0.77361,             0.49311,            0.036182,           0.0068362,           0.0016045,            0.009307,            0.009307,            0.009307
                  37,            0.044945,            0.011388,           0.0067097,             0.69784,             0.98576,             0.91433,             0.52418,            0.033728,           0.0069525,            0.001532,           0.0092872,           0.0092872,           0.0092872
                  38,            0.047308,            0.014116,           0.0058055,             0.79155,             0.79953,             0.93944,             0.58863,            0.037922,           0.0070403,           0.0015022,           0.0092674,           0.0092674,           0.0092674
                  39,            0.050609,            0.014949,           0.0056612,             0.77342,             0.83333,             0.80678,             0.50143,            0.036214,           0.0072348,           0.0015671,           0.0092476,           0.0092476,           0.0092476
                  40,            0.042333,            0.011305,           0.0052973,             0.68537,             0.83333,             0.79345,             0.35569,            0.038396,           0.0070863,           0.0015808,           0.0092278,           0.0092278,           0.0092278
                  41,            0.055792,            0.010133,           0.0076079,             0.91704,             0.88164,               0.995,             0.67992,            0.028156,           0.0064776,           0.0018162,            0.009208,            0.009208,            0.009208
                  42,            0.038911,            0.012349,            0.005896,             0.77207,             0.95254,              0.9675,             0.62067,            0.036381,            0.006779,           0.0015877,           0.0091882,           0.0091882,           0.0091882
                  43,             0.04346,            0.012137,           0.0044134,             0.54178,                   1,             0.80167,             0.42071,            0.041617,             0.00664,           0.0017624,           0.0091684,           0.0091684,           0.0091684
                  44,             0.05623,            0.012522,           0.0067474,             0.65007,                   1,              0.9675,             0.53545,            0.029358,           0.0059307,           0.0020523,           0.0091486,           0.0091486,           0.0091486
                  45,            0.042851,            0.010791,            0.010163,             0.80348,                   1,               0.995,             0.61695,            0.026744,           0.0056732,           0.0020237,           0.0091288,           0.0091288,           0.0091288
                  46,            0.039538,            0.011452,            0.012292,              0.5821,                   1,             0.87711,             0.55446,            0.031858,           0.0057344,           0.0019245,            0.009109,            0.009109,            0.009109
                  47,            0.038883,           0.0087442,            0.010453,             0.75524,             0.96445,               0.995,             0.51064,            0.028872,           0.0058391,           0.0020294,           0.0090892,           0.0090892,           0.0090892
                  48,            0.040704,            0.011425,           0.0056268,             0.76373,                   1,                0.94,               0.652,            0.027545,           0.0054865,           0.0016876,           0.0090694,           0.0090694,           0.0090694
                  49,            0.040999,            0.012821,           0.0062274,             0.88259,                   1,               0.995,             0.60898,            0.021689,            0.005625,           0.0015957,           0.0090496,           0.0090496,           0.0090496
                  50,             0.04408,            0.011699,           0.0067499,             0.65115,                   1,                0.94,             0.71614,            0.026039,           0.0056148,           0.0012772,           0.0090298,           0.0090298,           0.0090298
                  51,            0.047477,             0.00978,            0.005107,              0.5872,             0.83333,              0.6965,             0.44772,            0.033565,           0.0059044,           0.0011944,             0.00901,             0.00901,             0.00901
                  52,            0.045598,            0.011363,           0.0041902,             0.71333,                   1,             0.91433,             0.57061,            0.026218,           0.0051515,           0.0012407,           0.0089902,           0.0089902,           0.0089902
                  53,            0.042441,            0.010804,           0.0055641,             0.91263,                   1,               0.995,             0.61911,            0.024988,           0.0050771,            0.001273,           0.0089704,           0.0089704,           0.0089704
                  54,            0.046488,            0.012202,           0.0049496,             0.73443,                   1,                0.94,             0.41978,            0.029803,           0.0050025,           0.0012451,           0.0089506,           0.0089506,           0.0089506
                  55,            0.045075,           0.0095354,           0.0039193,             0.73073,                   1,               0.995,             0.59025,            0.025574,           0.0046179,           0.0011997,           0.0089308,           0.0089308,           0.0089308
                  56,            0.038231,            0.011774,           0.0041111,             0.73903,                   1,               0.907,             0.67591,            0.028652,           0.0049441,           0.0013067,            0.008911,            0.008911,            0.008911
                  57,            0.038313,            0.010966,           0.0041116,             0.85832,             0.94809,                0.94,             0.45782,             0.02907,           0.0048306,           0.0013229,           0.0088912,           0.0088912,           0.0088912
                  58,            0.039915,            0.010938,           0.0037663,             0.93109,                   1,               0.995,             0.75201,            0.022016,           0.0044663,           0.0014145,           0.0088714,           0.0088714,           0.0088714
                  59,            0.042133,             0.01205,           0.0042705,             0.95204,                   1,               0.995,             0.66918,             0.02339,           0.0046313,            0.001387,           0.0088516,           0.0088516,           0.0088516
                  60,            0.040284,            0.010738,           0.0084286,             0.77091,             0.96019,               0.995,              0.7087,            0.026256,           0.0046043,           0.0014423,           0.0088318,           0.0088318,           0.0088318
                  61,            0.042786,            0.012171,           0.0036287,             0.88632,                   1,               0.995,             0.59471,            0.023224,           0.0047474,           0.0015919,            0.008812,            0.008812,            0.008812
                  62,            0.043567,            0.013201,            0.003728,             0.86215,             0.97961,               0.995,             0.56784,            0.026395,           0.0044117,           0.0015537,           0.0087922,           0.0087922,           0.0087922
                  63,            0.035878,            0.010063,           0.0032706,             0.90189,                   1,               0.995,             0.58956,            0.026161,           0.0045319,           0.0016003,           0.0087724,           0.0087724,           0.0087724
                  64,            0.041267,            0.011064,           0.0039898,             0.95898,                   1,               0.995,             0.61046,            0.021873,            0.004653,           0.0016182,           0.0087526,           0.0087526,           0.0087526
                  65,            0.037411,            0.013099,           0.0036944,             0.91981,                   1,               0.995,              0.6526,            0.027036,           0.0046673,           0.0015694,           0.0087328,           0.0087328,           0.0087328
                  66,            0.048326,           0.0099733,           0.0040893,             0.88583,                   1,               0.995,             0.68229,             0.02143,           0.0043526,           0.0016087,            0.008713,            0.008713,            0.008713
                  67,            0.042781,            0.010672,           0.0028994,              0.8312,             0.96508,               0.995,             0.75796,            0.022572,           0.0043869,           0.0016052,           0.0086932,           0.0086932,           0.0086932
                  68,            0.037198,            0.010041,           0.0028578,             0.82009,                   1,               0.951,             0.63636,            0.027685,           0.0048237,           0.0016785,           0.0086734,           0.0086734,           0.0086734
                  69,            0.035789,           0.0097003,           0.0035776,             0.80977,                   1,               0.995,             0.70814,            0.021652,           0.0047092,           0.0015736,           0.0086536,           0.0086536,           0.0086536
                  70,            0.036955,           0.0095836,           0.0027814,             0.85778,             0.95131,               0.995,             0.67979,            0.025013,           0.0046062,           0.0014992,           0.0086338,           0.0086338,           0.0086338
                  71,            0.038359,           0.0097988,           0.0032575,             0.89268,             0.99504,               0.995,             0.63161,            0.023711,           0.0046606,           0.0014854,            0.008614,            0.008614,            0.008614
                  72,            0.037562,            0.012391,            0.003579,             0.83568,             0.97635,               0.995,             0.79495,            0.020582,           0.0043955,           0.0014824,           0.0085942,           0.0085942,           0.0085942
                  73,            0.032672,           0.0096696,           0.0030796,             0.87015,             0.91763,               0.995,             0.65337,            0.022004,           0.0043459,           0.0013924,           0.0085744,           0.0085744,           0.0085744
                  74,            0.032147,            0.010125,           0.0042018,             0.94217,                   1,               0.995,             0.72447,            0.019215,           0.0043831,           0.0013943,           0.0085546,           0.0085546,           0.0085546
                  75,            0.031842,           0.0087719,           0.0035446,             0.81851,                   1,             0.93944,             0.63986,            0.020247,           0.0041697,           0.0012993,           0.0085348,           0.0085348,           0.0085348
                  76,            0.034934,           0.0088927,           0.0025533,             0.81038,                   1,             0.93944,             0.70241,             0.02278,           0.0040438,           0.0012678,            0.008515,            0.008515,            0.008515
                  77,            0.029647,            0.010187,             0.00293,             0.92891,                   1,               0.995,             0.66727,            0.022296,           0.0039294,           0.0012083,           0.0084952,           0.0084952,           0.0084952
                  78,            0.032389,           0.0095208,           0.0020733,             0.97199,                   1,               0.995,              0.7663,            0.016424,           0.0038245,           0.0012531,           0.0084754,           0.0084754,           0.0084754
                  79,            0.038897,           0.0088681,           0.0039329,             0.96375,                   1,               0.995,             0.63617,            0.018386,           0.0038531,           0.0012087,           0.0084556,           0.0084556,           0.0084556
                  80,            0.034641,            0.011213,           0.0022202,             0.81313,                   1,               0.995,             0.74636,            0.028127,           0.0039752,           0.0012447,           0.0084358,           0.0084358,           0.0084358
                  81,            0.036805,           0.0094093,           0.0029544,             0.96716,                   1,               0.995,             0.65247,            0.021128,           0.0037596,           0.0012848,            0.008416,            0.008416,            0.008416
                  82,            0.038341,           0.0099113,           0.0030989,             0.91949,                   1,               0.995,             0.78436,            0.016945,           0.0036068,           0.0012596,           0.0083962,           0.0083962,           0.0083962
                  83,            0.028224,           0.0085774,           0.0019775,             0.96039,                   1,               0.995,             0.77665,            0.016523,           0.0036039,           0.0012569,           0.0083764,           0.0083764,           0.0083764
                  84,            0.029088,           0.0088275,           0.0025711,             0.69341,                   1,               0.995,             0.81515,            0.021395,           0.0038178,           0.0012062,           0.0083566,           0.0083566,           0.0083566
                  85,            0.033603,           0.0097733,           0.0025611,             0.83081,                   1,               0.995,             0.67746,            0.022604,           0.0038688,           0.0011904,           0.0083368,           0.0083368,           0.0083368
                  86,            0.027187,           0.0094366,           0.0018118,             0.94171,                   1,               0.995,             0.78639,            0.017108,           0.0036166,           0.0011753,            0.008317,            0.008317,            0.008317
                  87,            0.032552,            0.010533,           0.0027282,             0.80278,                   1,               0.995,             0.75736,            0.019475,           0.0038786,           0.0012291,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03299,           0.0087997,           0.0021212,             0.96757,                   1,               0.995,              0.7473,            0.021004,           0.0036578,           0.0012119,           0.0082774,           0.0082774,           0.0082774
                  89,            0.038138,           0.0090258,           0.0024819,             0.95867,                   1,               0.995,             0.68608,             0.01904,            0.003545,             0.00123,           0.0082576,           0.0082576,           0.0082576
                  90,             0.02903,           0.0094936,           0.0017036,             0.95381,                   1,               0.995,             0.76807,            0.018023,            0.003412,            0.001227,           0.0082378,           0.0082378,           0.0082378
                  91,            0.038636,           0.0097394,            0.003072,             0.95043,                   1,               0.995,             0.75963,            0.021006,           0.0035753,           0.0012793,            0.008218,            0.008218,            0.008218
                  92,            0.035043,            0.010972,           0.0020483,             0.82063,                   1,               0.995,             0.71019,            0.019413,           0.0035884,            0.001354,           0.0081982,           0.0081982,           0.0081982
                  93,            0.026007,           0.0083442,           0.0021943,             0.90849,                   1,               0.995,             0.69445,            0.024912,           0.0036714,           0.0013889,           0.0081784,           0.0081784,           0.0081784
